model,dataset,source,frame,status,gt_cx,gt_cy,gt_w_px,gt_h_px,sqrt_area_px,clutter,conf,iop
old_baseline,selcom_val,selcom,selcom_selcom_00241.jpg,FN,0.5318,0.5194,46.0,26.0,34.58,21503.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00247.jpg,FN,0.5323,0.5231,44.0,26.0,33.82,24681.7,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00252.jpg,FN,0.532,0.5222,45.0,24.0,32.86,25614.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00253.jpg,FN,0.5328,0.519,48.0,31.0,38.57,24672.7,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00254.jpg,FN,0.5328,0.5204,48.0,28.0,36.66,25224.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00262.jpg,FN,0.5346,0.5213,53.0,26.0,37.12,26122.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00272.jpg,FN,0.5396,0.519,48.0,25.0,34.64,25230.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00280.jpg,FN,0.5393,0.5204,47.0,28.0,36.28,28265.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00283.jpg,FN,0.5388,0.5204,47.0,24.0,33.59,26804.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00297.jpg,FN,0.5372,0.5185,41.0,26.0,32.65,26824.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00300.jpg,FN,0.5362,0.519,35.0,25.0,29.58,25054.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00304.jpg,FN,0.538,0.519,42.0,21.0,29.7,25708.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00308.jpg,FN,0.538,0.5208,38.0,21.0,28.25,24626.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00343.jpg,FN,0.4842,0.5309,56.0,27.7,39.37,8606.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00345.jpg,FN,0.4716,0.5333,43.0,28.0,34.7,11524.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00360.jpg,FN,0.3447,0.5275,37.7,21.8,28.7,4794.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00378.jpg,FN,0.2958,0.4895,48.4,23.5,33.69,2988.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00384.jpg,FN,0.3341,0.4813,38.6,19.1,27.14,3367.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00387.jpg,FN,0.3665,0.4813,46.1,20.9,31.02,2377.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00388.jpg,FN,0.3781,0.4803,46.6,19.2,29.89,3194.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00396.jpg,FN,0.4246,0.4811,43.1,20.2,29.53,3569.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00400.jpg,TP,0.4183,0.4803,49.9,21.7,32.87,3971.5,0.2546,1.0
old_baseline,selcom_val,selcom,selcom_selcom_00401.jpg,FN,0.4183,0.4808,52.3,21.4,33.43,3271.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00419.jpg,TP,0.4198,0.4766,49.5,24.0,34.49,2859.6,0.4698,0.872
old_baseline,selcom_val,selcom,selcom_selcom_00432.jpg,FN,0.4499,0.4735,45.3,21.1,30.93,4121.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00437.jpg,TP,0.4516,0.4737,47.6,20.0,30.88,3251.4,0.6471,1.0
old_baseline,selcom_val,selcom,selcom_selcom_00439.jpg,TP,0.4195,0.4749,46.7,18.5,29.36,4064.6,0.4061,0.973
old_baseline,selcom_val,selcom,selcom_selcom_00443.jpg,FN,0.404,0.4762,45.2,18.0,28.53,4371.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00453.jpg,FN,0.4061,0.4811,43.0,18.8,28.45,3673.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00459.jpg,FN,0.4053,0.4825,41.0,18.7,27.72,4136.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00465.jpg,FN,0.4037,0.4841,54.9,20.0,33.16,4214.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00466.jpg,TP,0.4037,0.4838,57.4,21.1,34.76,3790.4,0.5602,1.0
old_baseline,selcom_val,selcom,selcom_selcom_00469.jpg,FN,0.4022,0.4843,44.7,19.2,29.28,4481.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00471.jpg,TP,0.4033,0.4854,49.2,20.2,31.5,4439.4,0.5857,0.894
old_baseline,selcom_val,selcom,selcom_selcom_00478.jpg,FN,0.4027,0.4846,43.3,18.2,28.06,5327.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00485.jpg,FN,0.4015,0.4845,45.2,18.9,29.26,4639.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00500.jpg,FN,0.4133,0.4895,36.3,17.8,25.45,6173.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00507.jpg,FN,0.4356,0.4968,33.8,15.3,22.74,6969.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00513.jpg,FN,0.4682,0.4965,40.6,22.8,30.43,3655.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00519.jpg,FN,0.505,0.5043,29.7,20.2,24.51,5328.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00522.jpg,FN,0.4824,0.5058,52.9,24.8,36.21,2894.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00544.jpg,FN,0.4604,0.5047,43.5,26.3,33.8,5219.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00561.jpg,FN,0.4076,0.4972,35.0,30.0,32.4,10539.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00565.jpg,FN,0.381,0.5014,41.0,31.0,35.65,11894.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00573.jpg,FN,0.4125,0.506,40.0,27.0,32.86,12711.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00575.jpg,FN,0.4164,0.5079,39.0,21.0,28.62,11672.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00580.jpg,FN,0.4219,0.5102,40.0,22.0,29.66,11196.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00590.jpg,FN,0.4182,0.5125,46.0,27.0,35.24,6176.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00595.jpg,FN,0.4224,0.5111,54.0,24.0,36.0,6782.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00601.jpg,FN,0.4284,0.5176,55.0,28.0,39.24,8943.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00608.jpg,FN,0.4297,0.5213,60.0,22.0,36.33,9003.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00611.jpg,FN,0.4258,0.519,51.0,27.0,37.11,8860.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00625.jpg,FN,0.4068,0.5157,54.0,32.0,41.57,9553.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00635.jpg,FN,0.3711,0.5125,57.0,27.0,39.23,7184.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00637.jpg,FN,0.3654,0.5148,67.0,30.0,44.83,8676.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00645.jpg,FN,0.399,0.5829,80.0,31.0,49.8,8659.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00652.jpg,FN,0.4719,0.6352,68.0,22.0,38.68,8828.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00656.jpg,FN,0.4745,0.644,70.0,31.0,46.58,8517.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00662.jpg,FN,0.4738,0.6302,47.7,25.3,34.78,8472.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00665.jpg,FN,0.469,0.6185,67.0,28.0,43.31,8189.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00669.jpg,FN,0.4729,0.6171,54.1,28.4,39.2,8072.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00689.jpg,FN,0.477,0.6207,50.6,27.7,37.43,8569.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00697.jpg,FN,0.481,0.6228,46.4,25.9,34.67,8173.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00698.jpg,FN,0.4798,0.6218,46.1,26.3,34.83,8282.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00699.jpg,FN,0.4812,0.621,41.6,25.7,32.7,8374.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00703.jpg,FN,0.4812,0.5682,48.9,24.8,34.81,9138.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00710.jpg,FN,0.4809,0.5574,53.3,24.0,35.75,9888.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00715.jpg,FN,0.4795,0.5571,50.3,26.8,36.75,9771.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00718.jpg,FN,0.4784,0.5562,50.1,27.1,36.83,10747.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00723.jpg,FN,0.4811,0.557,45.3,24.5,33.35,11650.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00741.jpg,FN,0.4601,0.5604,50.5,27.0,36.92,11582.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00746.jpg,FN,0.4406,0.5671,56.0,31.0,41.67,14316.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00749.jpg,FN,0.4296,0.571,49.3,27.6,36.9,15893.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00767.jpg,FN,0.454,0.5179,76.4,26.7,45.2,16637.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00768.jpg,FN,0.4651,0.5169,67.4,28.6,43.94,16854.7,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00770.jpg,FN,0.4935,0.5177,72.6,29.9,46.56,15660.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00781.jpg,FN,0.5385,0.4949,68.0,31.0,45.91,20095.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00784.jpg,FN,0.5396,0.4931,68.0,35.0,48.79,19834.7,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00788.jpg,FN,0.5398,0.4958,63.0,33.0,45.6,20659.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00794.jpg,FN,0.5404,0.4935,77.0,38.0,54.09,19095.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00803.jpg,FN,0.55,0.4759,84.0,38.0,56.5,17898.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00814.jpg,FN,0.5276,0.475,98.0,36.0,59.4,14251.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00818.jpg,FN,0.512,0.475,86.0,36.0,55.64,12583.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00822.jpg,FN,0.5143,0.4755,97.0,31.0,54.84,12908.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00823.jpg,FN,0.518,0.4741,93.0,34.0,56.23,12724.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00824.jpg,FN,0.5148,0.4769,93.0,28.0,51.03,12954.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00831.jpg,FN,0.5188,0.4787,80.0,32.0,50.6,13078.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00838.jpg,FN,0.5242,0.4972,93.0,30.0,52.82,12636.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00874.jpg,FN,0.5326,0.5856,83.0,33.0,52.34,12930.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00901.jpg,FN,0.4807,0.5995,94.0,35.0,57.36,12265.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00904.jpg,FN,0.4805,0.6046,105.0,40.0,64.81,12722.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00905.jpg,FN,0.4786,0.6088,102.0,35.0,59.75,12282.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00910.jpg,FN,0.475,0.6241,100.0,30.0,54.77,12034.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00924.jpg,FN,0.4719,0.6403,92.0,33.0,55.1,13579.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00927.jpg,FN,0.4727,0.6449,93.0,29.0,51.93,12656.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00929.jpg,FN,0.4727,0.6412,93.0,35.0,57.05,11020.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00930.jpg,FN,0.4742,0.6403,87.0,33.0,53.58,11394.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00939.jpg,FN,0.4688,0.6699,92.0,35.0,56.74,9522.7,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00940.jpg,FN,0.4672,0.6755,90.0,39.0,59.25,9237.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00959.jpg,FN,0.4516,0.6968,118.0,45.0,72.87,6874.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00966.jpg,FN,0.4406,0.6653,124.0,49.0,77.95,6747.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00970.jpg,FN,0.4349,0.6907,134.0,48.0,80.2,5431.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00976.jpg,FN,0.4271,0.6495,148.0,47.0,83.4,5476.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00982.jpg,FN,0.4182,0.6602,142.0,52.0,85.93,5792.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00984.jpg,FN,0.418,0.6569,147.0,59.0,93.13,5674.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00986.jpg,FN,0.4151,0.6389,150.0,50.0,86.6,6003.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00987.jpg,FN,0.4169,0.6213,145.0,52.0,86.83,5981.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00992.jpg,FN,0.4174,0.5509,155.0,52.0,89.78,5491.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00995.jpg,FN,0.4167,0.5435,140.0,54.0,86.95,5761.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01019.jpg,FN,0.456,0.5583,151.0,58.0,93.58,4510.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01027.jpg,FN,0.4539,0.5792,159.0,53.0,91.8,6007.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01028.jpg,FN,0.4557,0.5833,166.0,52.0,92.91,5759.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01037.jpg,FN,0.5057,0.5949,162.0,57.0,96.09,5280.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01039.jpg,FN,0.5086,0.5963,165.0,52.0,92.63,5144.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01040.jpg,FN,0.5109,0.5968,166.0,61.0,100.63,4956.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01048.jpg,FN,0.4995,0.5551,162.0,57.0,96.09,5034.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01049.jpg,FN,0.4964,0.5583,162.0,50.0,90.0,5714.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01058.jpg,FN,0.4802,0.5593,152.0,76.0,107.48,5742.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01059.jpg,FN,0.4812,0.5519,156.0,74.0,107.44,5698.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01060.jpg,FN,0.4794,0.5343,155.0,78.0,109.95,5685.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01065.jpg,FN,0.4812,0.4847,156.0,57.0,94.3,5196.7,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01083.jpg,FN,0.4849,0.4231,150.0,54.0,90.0,6107.7,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01085.jpg,FN,0.4857,0.4139,145.0,44.0,79.88,6066.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01094.jpg,FN,0.4828,0.3745,132.0,55.0,85.21,5898.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01095.jpg,FN,0.4826,0.3727,133.0,59.0,88.58,6104.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01099.jpg,FN,0.4828,0.356,130.0,57.0,86.08,6678.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01101.jpg,FN,0.4833,0.3505,128.0,59.0,86.9,6316.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01104.jpg,FN,0.4826,0.3824,119.0,56.0,81.63,6783.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01109.jpg,FN,0.4844,0.3944,120.0,50.0,77.46,6908.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01113.jpg,FN,0.4841,0.375,115.0,50.0,75.83,7096.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01122.jpg,FN,0.4854,0.3444,108.0,50.0,73.48,5450.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01126.jpg,FN,0.4891,0.3333,102.0,50.0,71.41,4922.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01162.jpg,FN,0.4977,0.4116,111.0,45.0,70.68,5042.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01174.jpg,FN,0.4984,0.4051,120.0,45.0,73.48,4905.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01184.jpg,FN,0.5125,0.4167,102.0,40.0,63.87,4999.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01185.jpg,FN,0.5125,0.4273,102.0,45.0,67.75,4649.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01188.jpg,FN,0.5172,0.4722,102.0,42.0,65.45,4515.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01196.jpg,FN,0.5206,0.4894,95.0,43.0,63.91,6403.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01203.jpg,FN,0.5292,0.4731,104.0,40.0,64.5,6872.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01210.jpg,FN,0.5513,0.4486,109.0,45.0,70.04,6847.7,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01216.jpg,FN,0.5052,0.4324,108.0,42.0,67.35,10372.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01223.jpg,FN,0.5146,0.4181,100.0,45.0,67.08,12992.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01232.jpg,FN,0.5258,0.4796,99.0,46.0,67.48,10474.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01234.jpg,FN,0.5271,0.5116,100.0,43.0,65.57,10454.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01260.jpg,FN,0.5482,0.5204,133.0,62.0,90.81,8374.7,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01263.jpg,FN,0.5495,0.5199,134.0,67.0,94.75,9016.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01266.jpg,FN,0.5531,0.519,120.0,59.0,84.14,9288.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01270.jpg,FN,0.5583,0.5278,132.0,60.0,88.99,8519.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01271.jpg,FN,0.5651,0.5301,118.0,55.0,80.56,7842.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01273.jpg,FN,0.5755,0.5301,130.0,69.0,94.71,7474.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01281.jpg,FN,0.594,0.5394,233.0,99.0,151.88,6174.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01286.jpg,FN,0.6055,0.5389,315.0,106.0,182.73,7451.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01292.jpg,FN,0.6203,0.5398,274.0,90.0,157.03,7590.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_01295.jpg,FN,0.626,0.5407,280.0,88.0,156.97,7067.5,0.0,0.0
