id,date,target,config_id,precision,recall,f1,fpr,halluc_rate,latency_ms,extra,cache_path,source_script,ledger_ids
v5_rgbds_patch,2026-05-30,patch_v2,rgb_dataset_iou_640,0.9657,0.8492,0.9037,,0.0256,,§13.1,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
v5_rgbds_mlp,2026-05-30,mlp_v5,rgb_dataset_iou_640,0.9828,0.6636,0.7922,,0.0099,,recall ceiling carve-out §13.4,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
v5_confuser_bare,2026-05-30,ft4,confuser_test_640,,,,,0.3171,,no GT; FP=835 §13.1,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
v5_confuser_patch,2026-05-30,patch_v2,confuser_test_640,,,,,0.1071,,FP=282 §13.1,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
v5_confuser_mlp,2026-05-30,mlp_v5,confuser_test_640,,,,,0.0080,,FP=21; 97% cleaner §13.1,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
clf3_lean19,2026-05-30,lean19,clf_3way_300,,,0.978,,,,acc=0.990; §5.1,docs/analysis/full_pipeline_ablations/csv/classifier_3way.csv,eval/eval_classifier_3way.py,
clf3_lean13,2026-05-30,lean13,clf_3way_300,,,0.979,,,,acc=0.987; §5.1 (best F1m but scene-fingerprint overfit),docs/analysis/full_pipeline_ablations/csv/classifier_3way.csv,eval/eval_classifier_3way.py,
clf3_lean10,2026-05-30,lean10,clf_3way_300,,,0.963,,,,acc=0.980; §5.1,docs/analysis/full_pipeline_ablations/csv/classifier_3way.csv,eval/eval_classifier_3way.py,
clf3_lean17,2026-05-30,lean17,clf_3way_300,,,0.958,,,,acc=0.977; §5.1,docs/analysis/full_pipeline_ablations/csv/classifier_3way.csv,eval/eval_classifier_3way.py,
clf3_control40,2026-05-30,control40,clf_3way_300,,,0.920,,,,acc=0.953; §5.1,docs/analysis/full_pipeline_ablations/csv/classifier_3way.csv,eval/eval_classifier_3way.py,
clf3_retrainedv2,2026-05-30,retrained_v2_32feat,clf_3way_300,,,0.842,,,,acc=0.923; §5.1 video_drone collapse 0.280,docs/analysis/full_pipeline_ablations/csv/classifier_3way.csv,eval/eval_classifier_3way.py,
clfzoo_fnfn,2026-05-30,fusion_no_fn_v1.1,confuser_zoo_1280,,,,,0.016,,S2 classifier-stage fire; S3=0.008. §7 (open-world safest),eval/results/_cumulative_halluc/confuser_fusion_no_fn_model_v1.1/summary.json,eval/cumulative_halluc.py,
clfzoo_sa32,2026-05-30,sa32,confuser_zoo_1280,,,,,0.205,,S2 classifier-stage fire; S3=0.103; 13x fnfn on OOD zoo. §7,eval/results/_cumulative_halluc/confuser_sa32/summary.json,eval/cumulative_halluc.py,
ir_final_v2,2026-05-30,ir_v2,ir_final_640,0.661,0.406,0.503,,,,mAP50=0.458 mAP50-95=0.219; standalone V2 eval (NOT in comparison cache); was transposed (mAP50<->P) + wrong F1 0.430 before 2026-05-31 fix,eval/results/ir_version_comparison/ir_v2_eval_test_640.csv,eval/ir_version_comparison.py,
ir_final_v3,2026-05-30,ir_v3,ir_final_640,,,0.611,,,,§4.1,eval/results/ir_version_comparison/ir_comparison_test_640_2026-05-16T20-04-39.csv,eval/ir_version_comparison.py,
ir_final_v5,2026-05-30,ir_v5,ir_final_640,,,0.737,,,,regression §4.1,eval/results/ir_version_comparison/ir_comparison_test_640_2026-05-16T20-04-39.csv,eval/ir_version_comparison.py,
ir_final_v6,2026-05-30,ir_v6,ir_final_640,,,0.931,,,,§4.1,eval/results/ir_version_comparison/ir_comparison_test_640_2026-05-16T20-04-39.csv,eval/ir_version_comparison.py,
v52_rgbds_remine,2026-05-30,mlp_v5_remine_rgb,rgb_dataset_iou_640,0.972,0.626,0.763,,0.013,,"{""n_images"":300,""branch"":""v5_mlp_pf"",""vs_production_v5_f1"":0.784,""vs_bare_f1"":0.909,""svan_f1"":0.833,""antiuav_f1"":0.984,""selcom_f1"":0.612}",eval/results/_v5_pipeline_quick_remine_rgb/rgb_dataset_test_summary.json,eval_distill_v5_remine_rgb,v5-rgbds-ceiling
vid_drone_baseline,2026-05-30,baseline,video_drone_iop,0.771,0.749,0.760,,,,§9.4.2,,eval/eval_video_tests.py,
vid_drone_retrainedv2,2026-05-30,retrained_v2,video_drone_iop,0.909,0.453,0.605,,,,low-R/high-P §9.4.2,,eval/eval_video_tests.py,
vid_drone_selcom1280,2026-05-30,selcom_1280,video_drone_iop,0.649,0.812,0.721,,,,high-R/low-P; mode of selcom_mixed_ft2_1280 @1280 §9.4.2,,eval/eval_video_tests.py,
vid_drone_selcom640,2026-05-30,selcom_640,video_drone_iop,0.807,0.666,0.730,,,,selcom weights @ imgsz=640; cleanest pt at FPPI<=0.3 §9.4.5,,eval/eval_video_tests.py,
vid_drone_ir_gray,2026-05-30,ir_grayscale,video_drone_iop,0.743,0.557,0.636,,,,IR_final on grayscale-RGB §9.4.2,,eval/eval_video_tests.py,
vid_drone_ir_raw,2026-05-30,ir_raw,video_drone_iop,0.647,0.191,0.295,,,,IR_final on raw-RGB (unusable) §9.4.2,,eval/eval_video_tests.py,
vid_conf_baseline,2026-05-30,baseline,video_confuser,,,,,0.475,,§9.4.3,,eval/eval_video_tests.py,
vid_conf_retrainedv2,2026-05-30,retrained_v2,video_confuser,,,,,0.264,,§9.4.3,,eval/eval_video_tests.py,
vid_conf_selcom1280,2026-05-30,selcom_1280,video_confuser,,,,,0.593,,WORST OOD confuser RGB §9.4.3,,eval/eval_video_tests.py,
vid_conf_selcom640,2026-05-30,selcom_640,video_confuser,,,,,0.423,,imgsz=640 drops fire 0.709->0.260 FPPI §9.4.5,,eval/eval_video_tests.py,
vid_conf_ir_gray,2026-05-30,ir_grayscale,video_confuser,,,,,0.256,,lowest among usable §9.4.3,,eval/eval_video_tests.py,
vid_conf_ir_raw,2026-05-30,ir_raw,video_confuser,,,,,0.325,,§9.4.3,,eval/eval_video_tests.py,
rob_rgb_baseline,2026-05-30,baseline,roboflow_rgb_drone_640,0.912,0.746,0.820,,,,raw; baseline wins OOD drone too §8.1,,eval/run_roboflow_eval.py,
rob_rgb_retrainedv2,2026-05-30,retrained_v2,roboflow_rgb_drone_640,0.924,0.726,0.813,,,,raw; collapse does NOT generalize to OOD §8.1,,eval/run_roboflow_eval.py,
own_phase1_baseline,2026-05-30,clf_phase1_baseline,clf_own_holdout,,,0.9935,,,,test F1; full corpus,,(classifier metrics.json),
own_phase1_antiuav,2026-05-30,clf_phase1_anti_uav_only,clf_own_holdout,,,0.9968,,,,in-domain,,(classifier metrics.json),
own_phase1_svan,2026-05-30,clf_phase1_svanstrom_only,clf_own_holdout,,,1.0,,,,overfit/in-domain,,(classifier metrics.json),
own_phase1_nosvan,2026-05-30,clf_phase1_no_svan_drones,clf_own_holdout,,,0.9892,,,,,,(classifier metrics.json),
own_phase2_irsup,2026-05-30,clf_phase2_ir_suppressed,clf_own_holdout,,,0.9845,,,,normal; sup100 0.588 vs baseline 0.0,,(classifier metrics.json),
own_rgb_reliability,2026-05-30,rgb_reliability,clf_own_holdout,,,0.888,,,,AUC 0.964; Svan 0.085,,(classifier metrics.json),
own_ir_reliability,2026-05-30,ir_reliability,clf_own_holdout,,,0.917,,,,AUC 0.981,,(classifier metrics.json),
own_rgb_fp,2026-05-30,rgb_fp_model,clf_own_holdout,,,0.677,,,,AUC 0.950,,(classifier metrics.json),
own_rgb_fn,2026-05-30,rgb_fn_model,clf_own_holdout,,,0.796,,,,AUC 0.965,,(classifier metrics.json),
own_ir_fp,2026-05-30,ir_fp_model,clf_own_holdout,,,0.392,,,,AUC 0.781,,(classifier metrics.json),
own_ir_fn,2026-05-30,ir_fn_model,clf_own_holdout,,,0.766,,,,AUC 0.947,,(classifier metrics.json),
own_fnfn_v3more,2026-05-30,fusion_no_fn_v3more,clf_own_holdout,,,0.9490,,,,f1_macro; Svan 0.799,,(classifier metrics.json),
own_fnfn_v3more_nodet,2026-05-30,fusion_no_fn_v3more_no_det,clf_own_holdout,,,0.9493,,,,f1_macro,,(classifier metrics.json),
own_fnfn_capped30k,2026-05-30,fusion_no_fn_v3more_capped30k,clf_own_holdout,,,0.9383,,,,f1_macro,,(classifier metrics.json),
own_fnfn_capped_noflags,2026-05-30,fusion_no_fn_v3more_capped_no_flags,clf_own_holdout,,,0.9370,,,,f1_macro,,(classifier metrics.json),
own_fnfn_grayaug,2026-05-30,fusion_no_fn_v3more_gray_aug,clf_own_holdout,,,0.9369,,,,f1_macro,,(classifier metrics.json),
own_fnfn_realgray,2026-05-30,fusion_no_fn_v3more_realgray,clf_own_holdout,,,0.9092,,,,f1_macro; lowest,,(classifier metrics.json),
own_lean10_yt,2026-05-30,lean10_yt,clf_own_holdout,,,0.8998,,,,f1_macro; acc 0.9649,,(classifier metrics.json),
own_lean13_yt,2026-05-30,lean13_yt,clf_own_holdout,,,0.9121,,,,f1_macro; acc 0.9692,,(classifier metrics.json),
own_lean19v2_a,2026-05-30,lean19_v2_A,clf_own_holdout,,,0.9115,,,,f1_macro,,(classifier metrics.json),
own_lean19v2_b,2026-05-30,lean19_v2_B,clf_own_holdout,,,0.8881,,,,f1_macro; no class weights,,(classifier metrics.json),
own_lean19v2_c,2026-05-30,lean19_v2_C,clf_own_holdout,,,0.9154,,,,f1_macro; +xmodal,,(classifier metrics.json),
own_optimal_all56,2026-05-30,optimal_v1_all56,clf_own_holdout,,,0.9493,,,,f1_macro; 8-feat is -2.3pp vs sa32,,(classifier metrics.json),
own_clf_early,2026-05-30,clf_early_v1,clf_own_holdout,,,0.9984,,,,test F1; in-domain 21-feat,,(classifier metrics.json),
own_mlp_v5_p3p5,2026-05-30,mlp_v5_p3p5_ft4,clf_own_holdout,,,0.986,,,,5-fold CV f1 (meta+yolo); Svan F1 0.839,,(classifier metrics.json),
own_mlp_v4,2026-05-30,mlp_v4,clf_own_holdout,,,0.880,,,,5-fold CV f1 (meta+yolo),,(classifier metrics.json),
patch_v1_svan640,2026-05-30,patch_v1,svan_iop_640_may10,,,0.9241,,,,§6; v3 path UNKNOWN,,(EVIDENCE_LEDGER sweep),patch-version-ranking
patch_v2_svan640,2026-05-30,patch_v2,svan_iop_640_may10,,,0.9311,,,,production choice §6,,(EVIDENCE_LEDGER sweep),patch-version-ranking
patch_v3_svan640,2026-05-30,patch_v3,svan_iop_640_may10,,,0.8781,,,,over-aggressive §6,,(EVIDENCE_LEDGER sweep),patch-version-ranking
patch_v4_svan640,2026-05-30,patch_v4,svan_iop_640_may10,,,0.9331,,,,current code default ~=v2 §6,,(EVIDENCE_LEDGER sweep),patch-version-ranking
patch_catch_v2_svan,2026-05-30,patch_v2,patch_catch_svan_1280_s9,,,,,,,catch@0.5: BIRD0.638 AIRPLANE0.517 HELI0.709; DRONE_TP_veto0.054; all<0.90 bar; bimodal,,(EVIDENCE_LEDGER sweep),patch-catch-below-bar
clfzoo_control40,2026-05-30,control40,confuser_zoo_1280,,,,,0.212,,S2 zoo fire; S3=0.094; ties sa32 §7,,(EVIDENCE_LEDGER sweep),control40-deprecated
svan_s3_control40_thr09,2026-05-30,control40,svan_iop_1280_s9,0.925,0.893,0.909,,,,S3 patch_thr0.9; wins every Svan drone metric §7,,(EVIDENCE_LEDGER sweep),control40-deprecated
svan_s3_sa32_thr08,2026-05-30,sa32,svan_iop_1280_s9,,0.868,0.896,,,,S3 patch_thr0.8; confuser S3 FP 41 §7,,(EVIDENCE_LEDGER sweep),
ir_ood_night_raw,2026-05-30,ir_final,roboflow_ir_drone_640,0.494,0.264,0.344,,,,raw; sensor-augmented probe §8.3,,(EVIDENCE_LEDGER sweep),ir-ood-recall-ceiling
ir_ood_night_patch,2026-05-30,ir_final,roboflow_ir_drone_640,0.474,0.210,0.291,,,,+patch_v2 §8.3,,(EVIDENCE_LEDGER sweep),ir-ood-recall-ceiling
ir_ood_cbam_raw,2026-05-30,ir_final,roboflow_ir_drone_640,0.821,0.519,0.636,,,,ir_mixed_cbam raw §8.3,,(EVIDENCE_LEDGER sweep),ir-ood-recall-ceiling
ir_ood_cbam_patch,2026-05-30,ir_final,roboflow_ir_drone_640,0.874,0.491,0.628,,,,ir_mixed_cbam +patch §8.3,,(EVIDENCE_LEDGER sweep),ir-ood-recall-ceiling
ir_ood_conf_airhors2,2026-05-30,ir_final,roboflow_ir_confuser_640,,,,,,,airplane_hors2 FP 1128->1048 (7.1% supp) §8.4,,(EVIDENCE_LEDGER sweep),patch-verifier-distribution-bound
ir_ood_conf_airplane,2026-05-30,ir_final,roboflow_ir_confuser_640,,,,,,,airplane_plane FP 386->368 (4.7%) §8.4,,(EVIDENCE_LEDGER sweep),patch-verifier-distribution-bound
ir_ood_conf_bird,2026-05-30,ir_final,roboflow_ir_confuser_640,,,,,,,bird FP 95->61 (35.8%) §8.4,,(EVIDENCE_LEDGER sweep),patch-verifier-distribution-bound
pipe_vid_baseline_pf,2026-05-30,baseline,pipe_video_drone_iop,0.520,0.672,0.586,,,,+clf per-frame; RGB-alone 0.760 (dF1 -0.174) §9.5.2,,(EVIDENCE_LEDGER sweep),cascade-perframe-misleading
pipe_vid_retrainedv2_pf,2026-05-30,retrained_v2,pipe_video_drone_iop,,,0.615,,,,+clf; RGB 0.605; ONLY variant that gains §9.5.2,,(EVIDENCE_LEDGER sweep),cascade-perframe-misleading
pipe_vid_selcom1280_pf,2026-05-30,selcom_1280,pipe_video_drone_iop,,,0.537,,,,+clf; RGB 0.721 (dF1 -0.184) §9.5.2,,(EVIDENCE_LEDGER sweep),cascade-perframe-misleading
pipe_vid_selcom640_pf,2026-05-30,selcom_640,pipe_video_drone_iop,,,0.568,,,,+clf; RGB 0.730 §9.5.2,,(EVIDENCE_LEDGER sweep),cascade-perframe-misleading
pipe_vid_baseline_seg,2026-05-30,baseline,pipe_video_drone_iop,0.987,0.711,0.826,,,,segment; temporal-only 0.833 §9.5.4,,(EVIDENCE_LEDGER sweep),cascade-segment-recovers
pipe_vid_retrainedv2_seg,2026-05-30,retrained_v2,pipe_video_drone_iop,,,0.770,,,,segment §9.5.4,,(EVIDENCE_LEDGER sweep),cascade-segment-recovers
pipe_vid_selcom1280_seg,2026-05-30,selcom_1280,pipe_video_drone_iop,,,0.814,,,,segment §9.5.4,,(EVIDENCE_LEDGER sweep),cascade-segment-recovers
pipe_vid_selcom640_seg,2026-05-30,selcom_640,pipe_video_drone_iop,,,0.816,,,,segment §9.5.4,,(EVIDENCE_LEDGER sweep),cascade-segment-recovers
pipe_vidconf_baseline_seg,2026-05-30,baseline,pipe_video_confuser,,,,0.162,,,segment; RGB-raw 0.512 (68% cut) §9.5.5,,(EVIDENCE_LEDGER sweep),cascade-tightens-variance
pipe_vidconf_selcom1280_seg,2026-05-30,selcom_1280,pipe_video_confuser,,,,0.136,,,segment; RGB-raw 0.709 (81% cut) §9.5.5,,(EVIDENCE_LEDGER sweep),cascade-tightens-variance
pipe3clf_sa32,2026-05-30,sa32,pipe_video_drone_iop,,,0.826,,,,segment drone F1 (baseline RGB); TP retention 0.90 §9.5.8,,(EVIDENCE_LEDGER sweep),three-classifier-realvideo
pipe3clf_control40,2026-05-30,control40,pipe_video_drone_iop,,,0.644,,,,segment drone F1 (baseline RGB); TP retention 0.60 §9.5.8,,(EVIDENCE_LEDGER sweep),three-classifier-realvideo
pipe3clf_fnfn,2026-05-30,fusion_no_fn_v1.1,pipe_video_drone_iop,,0.128,0.219,,,,segment drone F1 (baseline RGB); rejects 85% of drone TPs §9.5.8,,(EVIDENCE_LEDGER sweep),three-classifier-realvideo
pipe_percat_sa32,2026-05-30,sa32,pipe_video_confuser,,,,,,,seg FPR by cat (baseline): birds0.017 airplanes0.225 helis0.216; PF FP-supp birds~80% airplanes~0 §9.5.9,,(EVIDENCE_LEDGER sweep),cascade-bird-vs-airplane-asymmetry
xsurf_selcom_holdout,2026-05-30,selcom_960,selcom_holdout_persize,0.88,0.44,0.585,,,,"#1 selcom holdout (vs selcom1280 0.580, baseline 0.15) §12",,(EVIDENCE_LEDGER sweep),selcom960-cross-surface-winner
xsurf_roboflow_drone,2026-05-30,selcom_960,roboflow_rgb_drone_640,,,0.84,,,,#1 OOD drone +patch (vs baseline 0.79) §12,,(EVIDENCE_LEDGER sweep),selcom960-cross-surface-winner
xsurf_antiuav_selcom1280,2026-05-30,selcom_1280,antiuav_per_model,0.84,,0.902,,,,849 FP; bleeds FP at high recall §12.1,,(EVIDENCE_LEDGER sweep),selcom1280-bleeds-fp
dualclf_v3_vs_sa32,2026-05-30,dual_classifier_v3,dual_clf_v3_surfaces,,,,,,,F1: BIRD sa32 0.247->v3 1.000; seagull 0.461->0.942; rgb_test 0.690->0.960; paired core neutral; residual airplane/heli grayscale ~0.50,,(EVIDENCE_LEDGER sweep),dual-classifier-v3
distill_cv_mlp,2026-05-30,distill_mlp_261feat,distill_cv_5fold,,,0.9955,,,,CV winner; meta-only 0.939; CV ONLY (Phase3 pending) §[2026-05-27],,(EVIDENCE_LEDGER sweep),embedding-distillation-cv
distill_cv_xgb,2026-05-30,distill_xgb_261feat,distill_cv_5fold,,,0.9917,,,,meta-only 0.966 already strong; CV ONLY,,(EVIDENCE_LEDGER sweep),embedding-distillation-cv
v5_selcom_mixed_src,2026-05-30,mlp_v5_mixed,selcom_iop_1280_persrc,,,0.2426,,,,mixed 80/20 source; collapsed (train-deploy mismatch) §13.2,,(EVIDENCE_LEDGER sweep),v5-selcom-train-deploy-mismatch
v5_selcom_pure3x5,2026-05-30,mlp_v5_pure_3x5,selcom_iop_1280_persrc,,,0.6097,,,,pure CCTV drone-wt3.5 ~= pure_1x8; weight bump redundant §13.2,,(EVIDENCE_LEDGER sweep),v5-selcom-train-deploy-mismatch
ir_mlp_v5_cbam_thr05,2026-05-30,mlp_v5_ir,cbam_ir_640,0.817,0.967,0.885,,,,bare P0.547 R0.967 F1 0.699 48FP; mlp@thr0.05 13FP recall unchanged (+0.187 F1); patch F1 0.688 net-neg,,eval_ir_verifier_eval,ir-verifier-conditional
ir_mlp_v5_ir_dset_thr05,2026-05-30,mlp_v5_ir,ir_final_640,0.960,0.914,0.936,,,,conf0.40 stride5 n1923; bare R0.971 F1 0.965; mlp@0.05 lost 71 TP for 4 FP (net-neg); ir_video same pattern dR-0.050; patch also net-neg,,eval_ir_verifier_eval,ir-verifier-conditional
ir_mlp_v5_halluc_heldout,2026-05-31,mlp_v5_ir,ir_confuser_halluc_640,,,,,0,,@conf0.40 thr0.05: ir_video(664 real thermal) 0 FP bare -- v3b does NOT fire on familiar-domain confusers; cutpaste(500 synth) bare 89 -> mlp 76 (-15%) patch 85 (-4%). Contrast CBAM 48->4 which is IN-DOMAIN (CBAM-train in MLP training).,,mri_holdout,ir-verifier-conditional
ir_mlp_dronediv_heldout,2026-05-31,mlp_v5_ir_dronediv,ir_final_640,0.960,0.963,0.962,,,,"held-out thermal @conf0.40 thr0.05; bare R0.971 F1 0.965 -> dronediv R0.963 (dR -0.007). ir_video dR +0.000, antiuav dR +0.000. RECALL-SAFE vs old mlp_v5_ir (-0.056/-0.043/-0.006).",,mri,ir-recall-fixed-by-drone-diversity
ir_aligned_cbam_heldout,2026-05-31,mlp_v5_ir_aligned,cbam_ir_640,0.786,0.917,0.846,,,,"CBAM HELD OUT (dual-save re-run, canonical). bare F1 0.699/48FP/R0.967 -> aligned F1 0.846/15FP/R0.917 (FP -33=69pct catch, +0.147 F1). patch cut only 7. Thermal drone recall preserved: ir_dset_final dR-0.007, ir_video 0, antiuav 0.",,mri_train_aligned,ir-grayscale-harvest-solves-thermal-verifier
ir_aligned_gray_heldout,2026-05-31,mlp_v5_ir_aligned,rgb_gray_heldout_640,0.762,0.157,0.261,,0.009,,"grayscale deploy (mlp_aligned_gray.pt, --grayscale-input). P/R/F1 = DRONE surface rgb_dataset->gray n17209 (bare 0.704/0.210/0.324 -> aligned 0.762/0.157/0.261; weak bare R is the detector on photos, not the verifier). CONFUSER surface rgb_confusers->gray n1317: FP 325->12 (96pct cut, halluc_rate 0.009 post-MLP). Matches dedicated mlp_v5_gray cut at half the recall loss (-0.053 vs -0.113).",,eval_run_aligned_full,ir-grayscale-harvest-solves-thermal-verifier
ir_aligned_irdset_final,2026-05-31,mlp_v5_ir_aligned,ir_final_640,0.965,0.958,0.962,,,,"ir_dset_final stride2 n4806, thermal deploy @thr0.05. bare F1 0.965 R0.965 -> aligned F1 0.962 R0.958 (dR-0.007, recall-safe, neutral). FP 109->108.",,eval_run_aligned_full,ir-grayscale-harvest-solves-thermal-verifier
svanstrom_ir_aligned,2026-06-02,mlp_v5_ir_aligned,svan_ir_iop_640,0.941,0.966,0.953,,0.025,,"svanstrom_ir surface (IR v3b @640, IoP, conf0.40), 1000 strided frames / 421 dets. bare P0.941/R0.966/F10.953 halluc0.025 -> aligned_thr@0.05 IDENTICAL (recall-safe, exactly neutral on svan). ir_patch@0.5 P0.944/R0.939/F10.941 (slightly costs recall). Confuser-FP context is CBAM (aligned 48->15). Confirms IR clean on Svanstrom; verifier earns keep only on confuser-dense thermal. Same harness as RGB svanstrom row (P0.46->0.89 w/ mlp_v5).",eval/results/_offline_pipeline/cache/svanstrom_ir.pkl,pipeline_eval_offline,ir-verifier-neutral-on-svanstrom
svan_classifier_robust6_ta,2026-06-04,robust6,svan_iop_email,0.9405,0.9791,0.9594,,,,"classifier config (robust6 router, ft4+v3b, trust-aware). OLD fusion_no_fn 0.9937 (-3.4pp; robust6 OOD value not on this in-domain set)",eval/results/_email_recompute,pipeline_eval_paired.py,email-recompute-robust6-mlp
svan_rgbfilter_mlp_ta,2026-06-04,mlp_v5,svan_iop_email,0.9007,0.8388,0.8687,,,,"rgb_filter config, mlp_v5@0.5. OLD CNN patch 0.6988 (+17pp). MLP Pareto-dominates: +24pp recall at matched suppression",eval/results/_email_recompute,pipeline_eval_paired.py,email-recompute-robust6-mlp;mlp-filter-beats-cnn-ood
antiuav_classifier_robust6_ta,2026-06-04,robust6,antiuav_iou_email,0.9866,0.9769,0.9818,,,,"classifier config, robust6, trust-aware, full 85374. OLD fusion_no_fn 0.9916 (-1pp, robust6 recall trade)",eval/results/_email_recompute,pipeline_eval_paired.py,email-recompute-robust6-mlp
ir_v3b_svan640_may10,2026-06-05,ir_v3b,svan_iop_640_may10,0.9502,0.9726,0.9613,,,,ir_only; TP2234/FP117/FN63; conf0.40; imgsz640 confirmed; Svan IoP; resolves review row_5/row_7,eval/results/_ablation/2026-05-10T16-08-14/master.csv,,prov-may10-imgsz
