image_path,category,n_dets,max_conf,mean_conf,is_hardneg
G:\drone\rgb_confusers_merged\images\train\airplane_train__0a8989e4c0.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0a8cf13b7a.jpg,AIRPLANE,1,0.7424,0.7424,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0aa960439d.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0acb0fbb7b.jpg,AIRPLANE,2,0.3431,0.3151,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0ae2ef3360.jpg,AIRPLANE,2,0.6257,0.5063,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0aef1131b9.jpg,AIRPLANE,1,0.2581,0.2581,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0b30c1cc1c.jpg,AIRPLANE,1,0.3945,0.3945,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0b5e71f947.jpg,AIRPLANE,1,0.4675,0.4675,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0b94641cc2.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0bc00620dc.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0bd78d3def.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0bedcfa778.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0bfa76ec3d.jpg,AIRPLANE,4,0.5422,0.4183,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0c0002925e.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0c08b7f3b9.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0c19926386.jpg,AIRPLANE,1,0.4158,0.4158,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0c25b1a85e.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0c4a793401.jpg,AIRPLANE,3,0.6953,0.501,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0c4f8471e9.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0c55f1d775.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0c65918fc3.jpg,AIRPLANE,3,0.7255,0.5241,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0d42d30056.jpg,AIRPLANE,1,0.4719,0.4719,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0d58616b75.jpg,AIRPLANE,1,0.2893,0.2893,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0d9bafb2ae.jpg,AIRPLANE,1,0.4921,0.4921,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0da7efec99.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0dbf74e9ed.jpg,AIRPLANE,4,0.785,0.5472,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0de23a0fc3.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0df46644bb.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0df51f1d1e.jpg,AIRPLANE,1,0.7071,0.7071,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0e3ec2b945.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0e5a9ab4ce.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0e5e4a35ba.jpg,AIRPLANE,1,0.2947,0.2947,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0e663fe100.jpg,AIRPLANE,2,0.4462,0.4203,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0e8a8b8340.jpg,AIRPLANE,1,0.7292,0.7292,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0e98dc5482.jpg,AIRPLANE,2,0.3798,0.3303,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0ebb0cfeea.jpg,AIRPLANE,1,0.6493,0.6493,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0ecc7dd1c2.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0ee78670e8.jpg,AIRPLANE,3,0.6734,0.5031,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0f216814e2.jpg,AIRPLANE,2,0.7353,0.7262,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0f2a1d0589.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0fb2ed1ab2.jpg,AIRPLANE,1,0.3172,0.3172,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0fbef851c2.jpg,AIRPLANE,2,0.6617,0.65,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0fc9e6be56.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0fcda8d703.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__101117cfb5.jpg,AIRPLANE,1,0.277,0.277,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1013256be7.jpg,AIRPLANE,2,0.7646,0.7206,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__102337cedb.jpg,AIRPLANE,1,0.6198,0.6198,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__103839b3c9.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__104de8f587.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1054583fcb.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__106607b006.jpg,AIRPLANE,1,0.4881,0.4881,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__10711c7732.jpg,AIRPLANE,1,0.2748,0.2748,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__107dc36712.jpg,AIRPLANE,2,0.5362,0.4613,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__10a9b9f3c5.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__10cf9b7ad1.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__10d8897545.jpg,AIRPLANE,1,0.3166,0.3166,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__10de7b06b2.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__10e42cdb07.jpg,AIRPLANE,1,0.3735,0.3735,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__10f46df39f.jpg,AIRPLANE,1,0.5354,0.5354,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__110b3e0899.jpg,AIRPLANE,2,0.6527,0.4737,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__111768e564.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__111e8b1879.jpg,AIRPLANE,1,0.5158,0.5158,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__11319db7a7.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__113498a0f4.jpg,AIRPLANE,1,0.4673,0.4673,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__11437a65af.jpg,AIRPLANE,3,0.5484,0.4517,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__114d6641e3.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__117441d1af.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__119adce897.jpg,AIRPLANE,1,0.2811,0.2811,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__119d625562.jpg,AIRPLANE,2,0.6883,0.5554,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__11afc5c93b.jpg,AIRPLANE,2,0.556,0.4031,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__11e5ece31d.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__11ee0a440f.jpg,AIRPLANE,1,0.5208,0.5208,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__11f4d95e46.jpg,AIRPLANE,1,0.2667,0.2667,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__123dd7ab91.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__123f335bd6.jpg,AIRPLANE,2,0.3577,0.3427,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1259eee082.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1282ffd48f.jpg,AIRPLANE,1,0.4188,0.4188,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1298305574.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__12c5681000.jpg,AIRPLANE,2,0.7626,0.5848,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1301e849f9.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__130d6a9fee.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1350155b9c.jpg,AIRPLANE,1,0.4055,0.4055,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1374772431.jpg,AIRPLANE,1,0.4308,0.4308,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__139cb19b0e.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__13cda2a1f9.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__13cf2e5af1.jpg,AIRPLANE,2,0.8123,0.8113,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1410ee1efe.jpg,AIRPLANE,2,0.7736,0.5816,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__141413a2ea.jpg,AIRPLANE,1,0.6797,0.6797,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__141b0db0c5.jpg,AIRPLANE,2,0.385,0.3353,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1433aa312a.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__148ac60cac.jpg,AIRPLANE,1,0.3134,0.3134,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__14bafeb8aa.jpg,AIRPLANE,2,0.7802,0.5656,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__14e0b558d5.jpg,AIRPLANE,1,0.3337,0.3337,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__14e2a0cfb2.jpg,AIRPLANE,2,0.5312,0.5202,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__15251757c0.jpg,AIRPLANE,1,0.6095,0.6095,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1553d61e36.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__15582b03d3.jpg,AIRPLANE,2,0.471,0.3833,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__15a7a633df.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__15ada45b61.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__15b5263e9b.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__15dadf6bf9.jpg,AIRPLANE,3,0.5881,0.4111,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__160ca1e63b.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__165a6c1287.jpg,AIRPLANE,2,0.5407,0.4535,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1677ced10f.jpg,AIRPLANE,1,0.5433,0.5433,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__168c6c5fbd.jpg,AIRPLANE,1,0.6266,0.6266,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__168ddeb39f.jpg,AIRPLANE,2,0.6408,0.4787,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1694080824.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1698ce4529.jpg,AIRPLANE,2,0.3906,0.3538,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__16af17afa7.jpg,AIRPLANE,1,0.5281,0.5281,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__16d06fb24b.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__16df267f08.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1712b3243a.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1751e32ad3.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1780bc5244.jpg,AIRPLANE,1,0.4118,0.4118,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__17aae1b2d4.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__17bae69b57.jpg,AIRPLANE,1,0.4745,0.4745,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__17e09b6d8d.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1809c60e88.jpg,AIRPLANE,2,0.3569,0.3066,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__180be48cb2.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__181b43b837.jpg,AIRPLANE,2,0.3668,0.3161,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1833921434.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__185a45efe2.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__18998b68b4.jpg,AIRPLANE,2,0.7635,0.5892,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__189a4f1246.jpg,AIRPLANE,1,0.6671,0.6671,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__18a81693cb.jpg,AIRPLANE,1,0.5239,0.5239,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__18c367c4ad.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1913d8f4fa.jpg,AIRPLANE,2,0.5649,0.5205,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__19208e5bd7.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1969b4069c.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__19727212fa.jpg,AIRPLANE,1,0.2702,0.2702,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1997c09061.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__19b731faf5.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__19dfc7e746.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__19efb2f6f9.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__19fac973a8.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1a13116df6.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1a301f3036.jpg,AIRPLANE,4,0.5112,0.3509,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1a4d0b6021.jpg,AIRPLANE,2,0.6325,0.4934,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1a76ea000e.jpg,AIRPLANE,2,0.8244,0.8072,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1ace61e59b.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1b2653606f.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1b2ba2bf07.jpg,AIRPLANE,1,0.2992,0.2992,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1b69b670a8.jpg,AIRPLANE,3,0.4925,0.4032,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1b6ee1b844.jpg,AIRPLANE,2,0.3618,0.349,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1b949883aa.jpg,AIRPLANE,1,0.3379,0.3379,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1ba333b716.jpg,AIRPLANE,1,0.5992,0.5992,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1baa07ba35.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1be9fc9ff8.jpg,AIRPLANE,1,0.3458,0.3458,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1bf762d514.jpg,AIRPLANE,2,0.2875,0.2856,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1c4e8659c5.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1c55b36cf7.jpg,AIRPLANE,2,0.6438,0.5173,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1c563fb5a1.jpg,AIRPLANE,2,0.6636,0.604,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1c834a5a7b.jpg,AIRPLANE,1,0.3929,0.3929,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1c93d29e41.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1ca104cf36.jpg,AIRPLANE,2,0.3407,0.3054,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1ca3d48ff8.jpg,AIRPLANE,3,0.8614,0.7205,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1ca84b0b0f.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1cb7b2e3d4.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1cb7eb6ba3.jpg,AIRPLANE,1,0.7907,0.7907,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1cba787035.jpg,AIRPLANE,1,0.607,0.607,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1ce9c83a48.jpg,AIRPLANE,1,0.566,0.566,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__1cec167ad5.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1cf9fbc155.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__1d1d93a669.jpg,AIRPLANE,1,0.5599,0.5599,1
